id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15998422,Rental unit in Newport · ★4.81 · 1 bedroom · 1 bed · 1 bath,32081408,David,Newport,Newport,41.49203,-71.31536,Entire home/apt,129,1,138,2023-10-09,1.71,7,16,17,
16031746,Home in Warwick · ★5.0 · 1 bedroom · 1 bed · 1 private bath,104296466,Edward,Kent,Warwick,41.69379,-71.47094,Private room,80,1,3,2017-03-06,0.03,1,83,0,
16193461,Rental unit in South Kingstown · ★4.95 · 2 bedrooms · 2 beds · 2 baths,105750979,Chris And Cynthia,Washington,South Kingstown,41.41822,-71.52521,Entire home/apt,325,2,131,2023-09-02,1.59,1,191,12,
16416576,Rental unit in Providence · ★4.71 · 1 bedroom · 1 bed · 1 bath,75297967,Air Hostd,Providence,Providence,41.82268,-71.41499,Entire home/apt,79,3,325,2023-12-10,3.80,22,0,29,RE.01062-STR
16442821,Rental unit in Newport · ★4.93 · 1 bedroom · 1 bed · 1 bath,4483032,James,Newport,Newport,41.49095,-71.31581,Entire home/apt,455,2,87,2023-08-27,1.03,4,225,3,RE.00342-STR
16463976,Rental unit in Cranston · ★4.93 · 2 bedrooms · 3 beds · 1 bath,26424584,Efrosyni,Providence,Cranston,41.78168,-71.40244,Entire home/apt,245,2,55,2023-10-09,0.68,1,278,6,RE.00304-STR
16474457,Home in Narragansett · 3 bedrooms · 5 beds · 2 baths,22066341,Cheri,Washington,Narragansett,41.47301,-71.42156,Entire home/apt,785,7,1,2019-07-20,0.02,2,140,0,
16513866,Home in Middletown · ★4.95 · 5 bedrooms · 7 beds · 3 baths,108553220,Margret And David,Newport,Middletown,41.4942,-71.28102,Entire home/apt,850,3,86,2023-09-24,1.09,1,111,14,RE.00676-STR
16554964,Cottage in South Kingstown · ★4.87 · 2 bedrooms · 2 beds · 1 bath,32276340,Darcy,Washington,South Kingstown,41.4431,-71.49595,Entire home/apt,189,2,45,2023-06-05,0.56,2,208,1,RE.00240-STR
16555378,Cabin in New Shoreham · ★5.0 · 1 bedroom · 1 bed · 1 bath,103856577,Kristina,Washington,New Shoreham,41.19683,-71.57165,Entire home/apt,330,7,6,2023-08-12,0.14,3,133,1,
